键值,原文,翻译
"It's a catastrophe!\nAll businesses are stopping their work.\nAnd others are falling apart.\nIf we don't do anything,\nthis part of economy will be destroyed.","It's a catastrophe!\nAll businesses are stopping their work.\nAnd others are falling apart.\nIf we don't do anything,\nthis part of economy will be destroyed.",
Supreme Council won't allow giving up to the rebels!,Supreme Council won't allow giving up to the rebels!,
Comrade! Our army is extremely weak and we are almost defenseless. Whole population and the authorities are alarmed. We have to change that!,Comrade! Our army is extremely weak and we are almost defenseless. Whole population and the authorities are alarmed. We have to change that!,
Soviet man mustn't worry about luxuries!,Soviet man mustn't worry about luxuries!,
"Unemployment in our country reached unseen levels. If it continues, unemployed will try to organise our overthrow. We should urgently deal with it!","Unemployment in our country reached unseen levels. If it continues, unemployed will try to organise our overthrow. We should urgently deal with it!",
No negotiations with Albany!,No negotiations with Albany!,
Begin Cultural revolution against them!,Begin Cultural revolution against them!,
Comrade! You are surrounded! All military forces are under our full control and the Party fully supports our actions. Your time is up. We won't allow your pointless repressions and the destruction of leninism. Power must pass to the new and decisive people to create a new type of man - the Soviet man. Give up!,Comrade! You are surrounded! All military forces are under our full control and the Party fully supports our actions. Your time is up. We won't allow your pointless repressions and the destruction of leninism. Power must pass to the new and decisive people to create a new type of man - the Soviet man. Give up!,
Call soldiers for help!,Call soldiers for help!,
"Now, when all our opponents are eliminated, it's time, to secure our country from counterrevolutionaries and consumerist ideology. We are going to continue Andropov's campaign - support discipline, cleanse the government from enemies, with a transfer of power to the Communistic Party of the State Security. And you are the redundant element in our glorious Soviet future. Retire while you can!","Now, when all our opponents are eliminated, it's time, to secure our country from counterrevolutionaries and consumerist ideology. We are going to continue Andropov's campaign - support discipline, cleanse the government from enemies, with a transfer of power to the Communistic Party of the State Security. And you are the redundant element in our glorious Soviet future. Retire while you can!",
"Comrade ruler! Head of the Supreme Council of the Ukrainian SSR remained loyal to you and refused to organise the referendum of the Ukraine's status. After that, people of Ukraine went to the streets and began to protest. The head asks you to resolve this crisis situation","Comrade ruler! Head of the Supreme Council of the Ukrainian SSR remained loyal to you and refused to organise the referendum of the Ukraine's status. After that, people of Ukraine went to the streets and began to protest. The head asks you to resolve this crisis situation",
We can't ignore it!,We can't ignore it!,
"Urgently! Thousands of Belorussians led by nationalistic organisation BNF decided to celebrate day of memory near the place Kuropaty, where a lot of civilians were killed during stalinism (as claimed by an archeologist Nicola Krivaltsevich, who supports BNF - KGB footnote). They demand to admit this fact.","Urgently! Thousands of Belorussians led by nationalistic organisation BNF decided to celebrate day of memory near the place Kuropaty, where a lot of civilians were killed during stalinism (as claimed by an archeologist Nicola Krivaltsevich, who supports BNF - KGB footnote). They demand to admit this fact.",
Claim: It was done by German warmongers!,Claim: It was done by German warmongers!,
We can't ignore it!,We can't ignore it!,
"During the Party meeting, minister of economy suggested to give a free port status to one of our large ports. It won't only increase quality of life and investitions, but will also increase our income from new companies in our country! But should we open doors to the western companies\? And if we should, thaen what city will get this status\?","During the Party meeting, minister of economy suggested to give a free port status to one of our large ports. It won't only increase quality of life and investitions, but will also increase our income from new companies in our country! But should we open doors to the western companies\? And if we should, thaen what city will get this status\?",
Create a free port in Vladivostok!,Create a free port in Vladivostok!,
Create a free port in Odessa!,Create a free port in Odessa!,
"Since the beginning og Khruschev's warming our country massively uses mental asylums in politics: to pursue oppositioners, dissidents and other unwanted elements and enemies of the state. We need to stop it!","Since the beginning og Khruschev's warming our country massively uses mental asylums in politics: to pursue oppositioners, dissidents and other unwanted elements and enemies of the state. We need to stop it!",
"Comrade General Secretary! Poland demands opening investigation and declassifying documents on the Katyn tradegy - mass murder of Polish citizens during WW2. Today in the USSr and countries of a Warsaw pact it is officially claimed that the Nazi Germany is guilty of this murder, accordint to the Soviet investigation, which took place in 1943-1944. But the West accused us of falsifying the investigation. What should we do\?","Comrade General Secretary! Poland demands opening investigation and declassifying documents on the Katyn tradegy - mass murder of Polish citizens during WW2. Today in the USSr and countries of a Warsaw pact it is officially claimed that the Nazi Germany is guilty of this murder, accordint to the Soviet investigation, which took place in 1943-1944. But the West accused us of falsifying the investigation. What should we do\?",
We can't lie to our people!,We can't lie to our people!,
We can't lie to our people!,We can't lie to our people!,
We can't lie to our people!,We can't lie to our people!,
We can't break the principles of democracy!,We can't break the principles of democracy!,
"Comrade! Arguments take place about a legalisation of 'Solidarity' trade union, which was banned in 1982. This trade union illegally operates in Poland, while criticising Soviet power. It unites all people with antisoviet opinions: nationalists, liberals, anarchists. Everybody! What should we do\?","Comrade! Arguments take place about a legalisation of 'Solidarity' trade union, which was banned in 1982. This trade union illegally operates in Poland, while criticising Soviet power. It unites all people with antisoviet opinions: nationalists, liberals, anarchists. Everybody! What should we do\?",
We can't just eliminate them!,We can't just eliminate them!,
We can't break the principles of business!,We can't break the principles of business!,
We can't break the principles of democracy!,We can't break the principles of democracy!,
We can't break the principles of democracy!,We can't break the principles of democracy!,
Lenin is a mushroom!,Lenin is a mushroom!,
We can't ignore it!,We can't ignore it!,
We can't break the principles of free speech!,We can't break the principles of free speech!,
Didn't serve - you aren't a man!,Didn't serve - you aren't a man!,
We can't destroy our army!,We can't destroy our army!,
We can't destroy our army!,We can't destroy our army!,
We need to militarise the society!,We need to militarise the society!,
"System of education in our countries have always been much better, than in any other country. For decades we educated hard-working and wise youth and the unique trait of our education was a creation of a personality. But it was controled by communism, enforcement of Marx's and Lenin's ideals. Today, when our country chose the new path, we think, that we don't need communistic attributes anymore. While building new democratic society we should first think of our youth! So we ask you to pass a reform to eliminate everything old and unnecessary. We need to form the free thinking of our citizens, which are not controlled by marxism-leninism. Away with communistic propaganda in education! Away with the state control of education! We hope for your understanding and await the reforms. The building of the new democratic country can't happen without such an important reform!","System of education in our countries have always been much better, than in any other country. For decades we educated hard-working and wise youth and the unique trait of our education was a creation of a personality. But it was controled by communism, enforcement of Marx's and Lenin's ideals. Today, when our country chose the new path, we think, that we don't need communistic attributes anymore. While building new democratic society we should first think of our youth! So we ask you to pass a reform to eliminate everything old and unnecessary. We need to form the free thinking of our citizens, which are not controlled by marxism-leninism. Away with communistic propaganda in education! Away with the state control of education! We hope for your understanding and await the reforms. The building of the new democratic country can't happen without such an important reform!",
We can't support the West!,We can't support the West!,
We can't interfere in it!,We can't interfere in it!,
We can't risk!,We can't risk!,
We can't break principles of pluralism!,We can't break principles of pluralism!,
"An initiative group of our comrades request something from you. They ask you to reabilitate Lev Davydovich Trotsky, while saying, that such an important revolutionary and hero shouldn't be slandered and forgotten. They also tell about his heroism and skillful management of army during the civil war, without which the Red Army wouldn't be such succesful. And we shouldn't forget that he was a close friend of Lenin. But because of Stalin the Party excluded and forgot such a great man, who was then deported and killed by Joseph Stalin. Initiators ask you to finally reabilitate Trotsky, so he could be remembered and take place near another great revolutioners. Socialistic heroes shouldn't be forgotten!","An initiative group of our comrades request something from you. They ask you to reabilitate Lev Davydovich Trotsky, while saying, that such an important revolutionary and hero shouldn't be slandered and forgotten. They also tell about his heroism and skillful management of army during the civil war, without which the Red Army wouldn't be such succesful. And we shouldn't forget that he was a close friend of Lenin. But because of Stalin the Party excluded and forgot such a great man, who was then deported and killed by Joseph Stalin. Initiators ask you to finally reabilitate Trotsky, so he could be remembered and take place near another great revolutioners. Socialistic heroes shouldn't be forgotten!",
Religion is opium for people!,Religion is opium for people!,
We can't allow such reforms!,We can't allow such reforms!,
We can't miss such an opportunity!,We can't miss such an opportunity!,
"Urgently! Popular in our country rock musician Igor Talkov, who is known for songs like 'Clear waters', 'Memory' and 'CPSU', began to write songs, which criticise us as the antinational bureaucratic elite, which tries to destroy our country. However, if we shut him up, protests can appear because of his popularity.","Urgently! Popular in our country rock musician Igor Talkov, who is known for songs like 'Clear waters', 'Memory' and 'CPSU', began to write songs, which criticise us as the antinational bureaucratic elite, which tries to destroy our country. However, if we shut him up, protests can appear because of his popularity.",
We can't break principles of the freedom of speech!,We can't break principles of the freedom of speech!,
Nobody will let us to arrest him!,Nobody will let us to arrest him!,
The Iron Curtain must fall!,The Iron Curtain must fall!,
Take as much sovereignty as you can grab!,Take as much sovereignty as you can grab!,
Our way is a freedom of conscience!,Our way is a freedom of conscience!,
Destroy the remnants of this group!,Destroy the remnants of this group!,
We must destroy enemy of the state!,We must destroy enemy of the state!,
"Comrade! Our ecenomy is stagnated and some comrades suggest action. Some of the want to implement the Acceleration policy, which expands import, budget expenses and officially admits economy problems. Others suggest to restore Andropov's methods of discipline, which were cancelled by Chernenko. And the rest thinks that it is a lie and supporters of this idea should be purged.","Comrade! Our ecenomy is stagnated and some comrades suggest action. Some of the want to implement the Acceleration policy, which expands import, budget expenses and officially admits economy problems. Others suggest to restore Andropov's methods of discipline, which were cancelled by Chernenko. And the rest thinks that it is a lie and supporters of this idea should be purged.",
We can't do it!,We can't do it!,
We can't do it!,We can't do it!,
We can't do it!,We can't do it!,
We can't exclude an important member of the Party!,We can't exclude an important member of the Party!,
We can't do it!,We can't do it!,
We can't do it!,We can't do it!,
We can't do it!,We can't do it!,
We can't support capitalists!,We can't support capitalists!,
We can't spend so much money!,We can't spend so much money!,
We can't cooperate with capitalists!,We can't cooperate with capitalists!,
We can't invade Egypt!,We can't invade Egypt!,
We can't destroy achievements of October!,We can't destroy achievements of October!,
Of course no!,Of course no!,
We can't ignore them!,We can't ignore them!,
"Not only in the Council, but for the ruler's position too!","Not only in the Council, but for the ruler's position too!",
We can't destroy achievements of October!,We can't destroy achievements of October!,
We can't break principles of pluralism!,We can't break principles of pluralism!,
Only under the Party's control!,Only under the Party's control!,
We can't destroy achievements of October!,We can't destroy achievements of October!,
We can't forget achievements of October!,We can't forget achievements of October!,
We can't break principles of pluralism!,We can't break principles of pluralism!,
We can't destroy achievements of October!,We can't destroy achievements of October!,
We can't lie to our people!,We can't lie to our people!,
We can't break principles of pluralism!,We can't break principles of pluralism!,
We can't break principles of pluralism!,We can't break principles of pluralism!,
"...Our Party moves goes the wrong way - claims Yeltsin - we need to walk the path of reformation, quickly and confidently!...","...Our Party moves goes the wrong way - claims Yeltsin - we need to walk the path of reformation, quickly and confidently!...",
We can't ban his publications!,We can't ban his publications!,
We can't purge Yeltsin!,We can't purge Yeltsin!,
People won't belive us!,People won't belive us!,
We can't destroy achievements of October!,We can't destroy achievements of October!,
"Urgent message: New ruler of Mongolia persuaded the entire Politbureau to retire, after being pressured by mass protests. New mongolian leaders declare the beginning of liberal democratic reforms and legalisation of free entrepenuership. Can we allow it\?!","Urgent message: New ruler of Mongolia persuaded the entire Politbureau to retire, after being pressured by mass protests. New mongolian leaders declare the beginning of liberal democratic reforms and legalisation of free entrepenuership. Can we allow it\?!",
We can't just ignore it!,We can't just ignore it!,
We can't just ignore it!,We can't just ignore it!,
We can't just ignore it!,We can't just ignore it!,
We can't miss such opportunity!,We can't miss such opportunity!,
We can't be so radical!,We can't be so radical!,
We can't be so radical!,We can't be so radical!,
We can't be so radical!,We can't be so radical!,
Comrade! We have urgent news - Soviet hockey player Alexander Mogilny escaped to the USA.,Comrade! We have urgent news - Soviet hockey player Alexander Mogilny escaped to the USA.,
We can't allow this!,We can't allow this!,
"Comrade! Reformist wing of our Party suggests to assist replacement of current Afghanistan leader with Mohammad Najibullah, so he could start negotiations with religious figures and moderate opposition. They suppose that it will improve and stabilise the current situation.","Comrade! Reformist wing of our Party suggests to assist replacement of current Afghanistan leader with Mohammad Najibullah, so he could start negotiations with religious figures and moderate opposition. They suppose that it will improve and stabilise the current situation.",
"Comrade! Technocrats among our Party members suggest to create State Committee of the USSR which will regulate and improve development of informatics and ICT, while conservative members suggest to develop industry.","Comrade! Technocrats among our Party members suggest to create State Committee of the USSR which will regulate and improve development of informatics and ICT, while conservative members suggest to develop industry.",
We can't allow peace between them!,We can't allow peace between them!,
We can't provoke the West!,We can't provoke the West!,
We can't simply refuse!,We can't simply refuse!,
We cannot support a military coup!,We cannot support a military coup!,
The Aral Sea is rapidly dries up due to wrong and excessive use of water in region. We should do something!,The Aral Sea is rapidly dries up due to wrong and excessive use of water in region. We should do something!,
We cannot go bootlicking capitalists!,We cannot go bootlicking capitalists!,
We cannot reject so profitable offer!,We cannot reject so profitable offer!,
We cannot go bootlicking capitalists!,We cannot go bootlicking capitalists!,
We cannot go back to repressions!,We cannot go back to repressions!,
We cannot go back to stalinism!,We cannot go back to stalinism!,
It is the democracy!,It is the democracy!,
It is not the democracy!,It is not the democracy!,
We cannot close our eyes to that fact of agression!,We cannot close our eyes to that fact of agression!,
We cannot start a new war!,We cannot start a new war!,
We are not barbarians!,We are not barbarians!,
We cannot go against our union!,We cannot go against our union!,
We cannot support the agressors!,We cannot support the agressors!,
"Comrade General Secretary! Now, when you have climbed to power, you need to appoint unformal second person of the country - the secretary on ideology, who would be your de-facto under-secretary and the man who would maintain your policy on ideological level. There are quite a few variants and all of them can influent on our country's life.\n","Comrade General Secretary! Now, when you have climbed to power, you need to appoint unformal second person of the country - the secretary on ideology, who would be your de-facto under-secretary and the man who would maintain your policy on ideological level. There are quite a few variants and all of them can influent on our country's life.\n",
Victory over imperialism! Solidarity and marxist changes,Victory over imperialism! Solidarity and marxist changes,
"While respecting our past, we build our future!","While respecting our past, we build our future!",
Festival should be informal - now state slogans!,Festival should be informal - now state slogans!,
We can't support terrorism!,We can't support terrorism!,
We can't just abandon it!,We can't just abandon it!,
We can't break principles of pluralism!,We can't break principles of pluralism!,
"1982. Comrade General Secretary! We recieved a letter from the USA. It looks like some girl decided not to believe lying imperialist media, which claims that are we getting ready for war, and wants to know about our real policies.","1982. Comrade General Secretary! We recieved a letter from the USA. It looks like some girl decided not to believe lying imperialist media, which claims that are we getting ready for war, and wants to know about our real policies.",
Isolate and don't let him go!,Isolate and don't let him go!,
"From 11:00 AM people begin to gather at the Manezhnaya square carrying three-colored flags, portraits of Sakharov and Yeltsin. People's deputies of Russia and Mossoviet call gathered people for permanent stike. The call is sounding: \""Everybody for defending The White House!\"" TV station is in our hands. We need to say something to the people!","From 11:00 AM people begin to gather at the Manezhnaya square carrying three-colored flags, portraits of Sakharov and Yeltsin. People's deputies of Russia and Mossoviet call gathered people for permanent stike. The call is sounding: \""Everybody for defending The White House!\"" TV station is in our hands. We need to say something to the people!",
"Comrade! Our government has stabilized, but there is Gorbachev with rheumatism in Foros and we need to decide what to do with it and what to say to the people after ...","Comrade! Our government has stabilized, but there is Gorbachev with rheumatism in Foros and we need to decide what to do with it and what to say to the people after ...",
Comrade! Our government is still unstable and there is Gorbachev with rheumatism in Foros and we need to decide what to do with it and what to say to the people after ...,Comrade! Our government is still unstable and there is Gorbachev with rheumatism in Foros and we need to decide what to do with it and what to say to the people after ...,
"We were stabilized, and most of soviet republics accepted us. We are legitimized, and it's a confident win!","We were stabilized, and most of soviet republics accepted us. We are legitimized, and it's a confident win!",
"We received a letter, which was signed by a number of scientists and cultural figures. It was very polite, but stated that the freedom is being violated and it wasn't a goal of the Revolution. And, maybe, they are right, because... We have fought for freedom against Russian Empire!\n","We received a letter, which was signed by a number of scientists and cultural figures. It was very polite, but stated that the freedom is being violated and it wasn't a goal of the Revolution. And, maybe, they are right, because... We have fought for freedom against Russian Empire!\n",
We can't repress them!,We can't repress them!,
We can't interfere in indian policy!,We can't interfere in indian policy!,
We can't interfere in indian policy so deep!,We can't interfere in indian policy so deep!,
"Comrade!\nAlarming news comes to us from Washington, where the summit of some neutral countries heads took place. It was decided to form the Collective Security Treaty Alliance. Our analysts say that this could be the beginning of the Second Cold War.\n","Comrade!\nAlarming news comes to us from Washington, where the summit of some neutral countries heads took place. It was decided to form the Collective Security Treaty Alliance. Our analysts say that this could be the beginning of the Second Cold War.\n",
Tried to Initialize the SteamAPI twice in one session!,Tried to Initialize the SteamAPI twice in one session!,
