键值,原文,翻译
"Requires: No diplomatic relations with capitalists and Head of state writes laws or Party writes laws and Trotskists and Conservatives are the majority, DEFCON<5 or the SC writes laws, and Trotskists and Conservatives are the majority, DEFCON<4 or referendums are determining laws, republics loyalty is > 70, opposition force is < 50, DEFCON < 3  ","Requires: No diplomatic relations with capitalists and Head of state writes laws or Party writes laws and Trotskists and Conservatives are the majority, DEFCON<5 or the SC writes laws, and Trotskists and Conservatives are the majority, DEFCON<4 or referendums are determining laws, republics loyalty is > 70, opposition force is < 50, DEFCON < 3  ",
"Requires: Cooperation with the West, new thinking or non-interference policy and Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Liberals are the majority in the SC and Reformers>Liberals or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Cooperation with the West, new thinking or non-interference policy and Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Liberals are the majority in the SC and Reformers>Liberals or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Cooperation with the West or non-interference policy and Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Liberals are the majority in the SC and Reformers<Liberals or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Cooperation with the West or non-interference policy and Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Liberals are the majority in the SC and Reformers<Liberals or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Co-existence or higher policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<5  ","Requires: Co-existence or higher policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<5  ",
"Requires: Co-existence or higher policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<4  ","Requires: Co-existence or higher policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<4  ",
"Requires: Cooperation with the West, new thinking or co-existence policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Moderate are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Cooperation with the West, new thinking or co-existence policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Moderate are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Cooperation with the West, new thinking policy or non-interference policy and Head of state writes laws or Party writes laws or the SC writes laws, and Moderate, Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Cooperation with the West, new thinking policy or non-interference policy and Head of state writes laws or Party writes laws or the SC writes laws, and Moderate, Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Cooperation with the West, new thinking policy or non-interference policy and Head of state writes laws or Party writes laws or the SC writes laws, and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50\nOr there is no any enemy","Requires: Cooperation with the West, new thinking policy or non-interference policy and Head of state writes laws or Party writes laws or the SC writes laws, and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50\nOr there is no any enemy",
"Requires: Cooperation with the West or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws, and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Cooperation with the West or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws, and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority and Reformers>Liberals or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority and Reformers>Liberals or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority and Reformers>Liberals or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority and Reformers>Liberals or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority and Reformers<Liberals or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority and Reformers<Liberals or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Moderate are the majority and Reformers<Moderate or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Moderate are the majority and Reformers<Moderate or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Leaderism and head of state writes laws or Party writes laws or the SC writes laws and Trotskists and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Leaderism and head of state writes laws or Party writes laws or the SC writes laws and Trotskists and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Party elitarization or Soviet Republic and head of state writes laws or Party writes laws or the SC writes laws and Trotskysts, Stalinists and Conservatives are the majority in the SC, Liberals and Reformers are banned or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Party elitarization or Soviet Republic and head of state writes laws or Party writes laws or the SC writes laws and Trotskysts, Stalinists and Conservatives are the majority in the SC, Liberals and Reformers are banned or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Chinese Democracy or Fractional Democracy and head of state writes laws or Party writes laws or the SC writes laws and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Chinese Democracy or Fractional Democracy and head of state writes laws or Party writes laws or the SC writes laws and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Representative or Direct Democracy or Consensus democracy and head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Representative or Direct Democracy or Consensus democracy and head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Leaderism or Party elitarization and head of state writes laws or Party writes laws or the SC writes laws and Trotskists, Stalinists and Coservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Leaderism or Party elitarization and head of state writes laws or Party writes laws or the SC writes laws and Trotskists, Stalinists and Coservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Leaderism, Party elitarization or Soviet Republic and head of state writes laws or Party writes laws or the SC writes laws and Stalinists and Coservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Leaderism, Party elitarization or Soviet Republic and head of state writes laws or Party writes laws or the SC writes laws and Stalinists and Coservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Direct or Consensus or Representative Democracy and head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Direct or Consensus or Representative Democracy and head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
Requires: Leaderism or Party elitarization and science points>200  ,Requires: Leaderism or Party elitarization and science points>200  ,
"Requires: Soviet Republic, Chinese Democracy or Party elitarization and science points>100  ","Requires: Soviet Republic, Chinese Democracy or Party elitarization and science points>100  ",
"Requires: Soviet Republic, Chinese Democracy, Fractional Democracy or Party elitarization and science points>50  ","Requires: Soviet Republic, Chinese Democracy, Fractional Democracy or Party elitarization and science points>50  ",
"Requires: Soviet Republic, Chinese Democracy, Fractional Democracy, Direct Democracy or Consensus democracy or Party elitarization and science points>50  ","Requires: Soviet Republic, Chinese Democracy, Fractional Democracy, Direct Democracy or Consensus democracy or Party elitarization and science points>50  ",
Requires: Fractional or Representative Democracy and science points>30  ,Requires: Fractional or Representative Democracy and science points>30  ,
Requires: Fractional or Representative Democracy and science points>50  ,Requires: Fractional or Representative Democracy and science points>50  ,
(Requires: Representative Democracy and science points>100  ,(Requires: Representative Democracy and science points>100  ,
"Requires: Leaderism and head of state writes laws or Party writes laws or the SC writes laws and Trotskists and Liberals are the majority in the SC, republics' loyalty > 90 or referendums are determining laws, republics loyalty is >90, opposition force is <10  ","Requires: Leaderism and head of state writes laws or Party writes laws or the SC writes laws and Trotskists and Liberals are the majority in the SC, republics' loyalty > 90 or referendums are determining laws, republics loyalty is >90, opposition force is <10  ",
"Requires: Leaderism or Party elitarization and head of state writes laws or Party writes laws or the SC writes laws and Trotskists and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Leaderism or Party elitarization and head of state writes laws or Party writes laws or the SC writes laws and Trotskists and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Leaderism, Party elitarization or Soviet Republic and head of state writes laws or Party writes laws or the SC writes laws and Trotskists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Leaderism, Party elitarization or Soviet Republic and head of state writes laws or Party writes laws or the SC writes laws and Trotskists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Any type of Democracy except Direct and head of state writes laws or Party writes laws or the SC writes laws and Moderate and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Any type of Democracy except Direct and head of state writes laws or Party writes laws or the SC writes laws and Moderate and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Any type of Democracy except Chinese and Direct and head of state writes laws or Party writes laws or the SC writes laws and Liberals and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Any type of Democracy except Chinese and Direct and head of state writes laws or Party writes laws or the SC writes laws and Liberals and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Direct Democracy or Consensus democracy and head of state writes laws or Party writes laws or the SC writes laws and Liberals and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Direct Democracy or Consensus democracy and head of state writes laws or Party writes laws or the SC writes laws and Liberals and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: DEFCON<4 or USA is out of NATO, Head of state writes laws or Party writes laws or the SC writes laws and Trotskists, Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: DEFCON<4 or USA is out of NATO, Head of state writes laws or Party writes laws or the SC writes laws and Trotskists, Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: DEFCON>4 or USA is out of NATO, Head of state writes laws or Party writes laws or the SC writes laws and Liberals and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: DEFCON>4 or USA is out of NATO, Head of state writes laws or Party writes laws or the SC writes laws and Liberals and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Military time army, Head of state writes laws or Party writes laws and Trotskists and Stalinists are the majority or the SC writes laws and Trotskists, Liberals, Stalinists and Moderate are the majority in the SC and DEFCON<3 or referendums are determining laws, republics loyalty is >70, opposition force is <30 and DEFCON<3  ","Requires: Military time army, Head of state writes laws or Party writes laws and Trotskists and Stalinists are the majority or the SC writes laws and Trotskists, Liberals, Stalinists and Moderate are the majority in the SC and DEFCON<3 or referendums are determining laws, republics loyalty is >70, opposition force is <30 and DEFCON<3  ",
"Requires: Military time army or its strengthening, Head of state writes laws or Party writes laws or the SC writes laws and Trotskists, Liberals and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30 and DEFCON<5  ","Requires: Military time army or its strengthening, Head of state writes laws or Party writes laws or the SC writes laws and Trotskists, Liberals and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30 and DEFCON<5  ",
"Requires: Army strengthening or defending army doctrine, Head of state writes laws or Party writes laws or the SC writes laws and Conservatives, Moderate and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Army strengthening or defending army doctrine, Head of state writes laws or Party writes laws or the SC writes laws and Conservatives, Moderate and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Defending army doctrine or nuclear restraint, Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Defending army doctrine or nuclear restraint, Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Defending, ceremonial army doctrine or nuclear restraint, Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Defending, ceremonial army doctrine or nuclear restraint, Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Defending army doctrine or nuclear restraint, Head of state writes laws or Party writes laws or the SC writes laws, DEFCON>2 and Liberals and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30, DEFCON>3  ","Requires: Defending army doctrine or nuclear restraint, Head of state writes laws or Party writes laws or the SC writes laws, DEFCON>2 and Liberals and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30, DEFCON>3  ",
"Requires: Leaderism, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals and Trotskists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Leaderism, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals and Trotskists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Fractional or Representative Democracy, Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Fractional or Representative Democracy, Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Direct or Consensus or Representative Democracy, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Direct or Consensus or Representative Democracy, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Direct or Consensus or Fractional or Representative Democracy, Controlled or Free Market economy, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals and Reformers are the majority in the SC, Liberals>Reformers or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Direct or Consensus or Fractional or Representative Democracy, Controlled or Free Market economy, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals and Reformers are the majority in the SC, Liberals>Reformers or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Direct or Consensus or Fractional Democracy, Controlled or Free Market economy, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Direct or Consensus or Fractional Democracy, Controlled or Free Market economy, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Leaderism, Head of state writes laws or Party writes laws and Trotskists and Stalinists are the majority or the SC writes laws, and Trotskists and Stalinists are the majority in the SC and the arithmetic mean of Conservatives and Reformers Loyalty is >50 or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Leaderism, Head of state writes laws or Party writes laws and Trotskists and Stalinists are the majority or the SC writes laws, and Trotskists and Stalinists are the majority in the SC and the arithmetic mean of Conservatives and Reformers Loyalty is >50 or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Soviet republic or any Democracy type, Head of state writes laws or Party writes laws and Moderate and Reformers are the majority or the SC writes laws, and Moderate and Reformers are the majority in the SC and the arithmetic mean of Conservatives and Reformers Loyalty is>50 or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Soviet republic or any Democracy type, Head of state writes laws or Party writes laws and Moderate and Reformers are the majority or the SC writes laws, and Moderate and Reformers are the majority in the SC and the arithmetic mean of Conservatives and Reformers Loyalty is>50 or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Leaderism, Head of state writes laws or Party writes laws or the SC writes laws, and Trotskists and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Leaderism, Head of state writes laws or Party writes laws or the SC writes laws, and Trotskists and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Direct or Consensus or Representative Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Direct or Consensus or Representative Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Party elitarization or leaderism, Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Trotskists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Party elitarization or leaderism, Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Trotskists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Representative or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Representative or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Representative or Direct Democracy or Consensus democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Representative or Direct Democracy or Consensus democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Party elitarization, Leaderism or Soviet Republic, Head of state writes laws or Party writes laws or the SC writes laws, and Stalinists and Trotskists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Party elitarization, Leaderism or Soviet Republic, Head of state writes laws or Party writes laws or the SC writes laws, and Stalinists and Trotskists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Representative or Direct Democracy or Consensus democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Moderate are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Representative or Direct Democracy or Consensus democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Moderate are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Direct Democracy or Consensus democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Direct Democracy or Consensus democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Leaderism or Party elitaritzation, Head of state writes laws or Party writes laws or the SC writes laws, and Trotskists and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Leaderism or Party elitaritzation, Head of state writes laws or Party writes laws or the SC writes laws, and Trotskists and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Soviet Republic, Leaderism or Party elitaritzation, Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Soviet Republic, Leaderism or Party elitaritzation, Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Fractional, Chinese or Representative Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Moderate are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Fractional, Chinese or Representative Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Moderate are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Fractional or Direct Democracy or Consensus democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Fractional or Direct Democracy or Consensus democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"Requires: Fractional or Representative Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ","Requires: Fractional or Representative Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
"MILITARY COUP\nWhile you were trying to launch nukes, generals were plotting against you. Launch codes were quickly changed, and you were arrested. You were executed as a traitor, and reputation of communists became even worse. Dictator and populist came to power....","MILITARY COUP\nWhile you were trying to launch nukes, generals were plotting against you. Launch codes were quickly changed, and you were arrested. You were executed as a traitor, and reputation of communists became even worse. Dictator and populist came to power....",
"MILITARY COUP\nWhile you were trying to launch nukes, generals were plotting against you. Launch codes were quickly changed, and you were arrested. You were executed as a traitor, and reputation of communists became even worse. Dictator and populist came to power...","MILITARY COUP\nWhile you were trying to launch nukes, generals were plotting against you. Launch codes were quickly changed, and you were arrested. You were executed as a traitor, and reputation of communists became even worse. Dictator and populist came to power...",
"Soon the Causescu's government was overthrownand he was executed after a quick trial.Country was leaded by a retired influential communist Ion Iliyescu.However, under the pressure of liberals and democrats,Frontier of a National Safety was disbanded,and elections were held.Despite Ioan leading the country, liberalisationcan't be stopped now..","Soon the Causescu's government was overthrownand he was executed after a quick trial.Country was leaded by a retired influential communist Ion Iliyescu.However, under the pressure of liberals and democrats,Frontier of a National Safety was disbanded,and elections were held.Despite Ioan leading the country, liberalisationcan't be stopped now..",
"1979. Thanks to our support, a large frontier of the Left, socialists and the islamist left was created. They couldn't be banned from entering the parliament, because they didn't protest against the religion dual power was estabilished as a result.","1979. Thanks to our support, a large frontier of the Left, socialists and the islamist left was created. They couldn't be banned from entering the parliament, because they didn't protest against the religion dual power was estabilished as a result.",
"Your call to the soldier masses wasn't ignored. You have always been an idol for them, who made them believe in themselves, in army, glorious future and who made all conditions for wonderful present. And now, soldier activists, loyal to you, raised other soldiers against KGB and destroyed their HQs. Your power is restored at the expense of safety.","Your call to the soldier masses wasn't ignored. You have always been an idol for them, who made them believe in themselves, in army, glorious future and who made all conditions for wonderful present. And now, soldier activists, loyal to you, raised other soldiers against KGB and destroyed their HQs. Your power is restored at the expense of safety.",
"Vietnam declared ceasefire in Cambodia, after which the military was withdrawn from the country, opposition was legalised and the People's Party became led by Hun Sen and changed it's ideology to centrist, the monarch gained nominal role and amnesty of red Khmers who betrayed Pol Pot was declared. Problem is solved, but Cambodia starts to exit our influence.","Vietnam declared ceasefire in Cambodia, after which the military was withdrawn from the country, opposition was legalised and the People's Party became led by Hun Sen and changed it's ideology to centrist, the monarch gained nominal role and amnesty of red Khmers who betrayed Pol Pot was declared. Problem is solved, but Cambodia starts to exit our influence.",
"Programme of political reformation began to build socialism with a human face. Supporters of reforms in government an renewal of socialsim occupied some positions, as well as members of intellectuals. While they are starting to fight for new reforms, Party is getting divided. Alot of them are already planning to calim your position","Programme of political reformation began to build socialism with a human face. Supporters of reforms in government an renewal of socialsim occupied some positions, as well as members of intellectuals. While they are starting to fight for new reforms, Party is getting divided. Alot of them are already planning to calim your position",
"On 19 August 1991, Special Forces of the KGB group Alfa, in amount of about 50 people, came to Yeltsin's cottage in Arkhangelsk. They approached the gates of the cottage, posing as VDV, who arrived on Assignment of the Defense Minister to increase the security of the village. However, one of the security guards of Yeltsin recognized him as an Alfa officer, who taught at the KGB courses. Yeltsin's guards invited Alfa fighters to dine in the dining room, but this was only a distracting maneuver. Elimination of Yeltsin occurred right in his office by one of the snipers, after which the explosion of the gas pipe was staged.","On 19 August 1991, Special Forces of the KGB group Alfa, in amount of about 50 people, came to Yeltsin's cottage in Arkhangelsk. They approached the gates of the cottage, posing as VDV, who arrived on Assignment of the Defense Minister to increase the security of the village. However, one of the security guards of Yeltsin recognized him as an Alfa officer, who taught at the KGB courses. Yeltsin's guards invited Alfa fighters to dine in the dining room, but this was only a distracting maneuver. Elimination of Yeltsin occurred right in his office by one of the snipers, after which the explosion of the gas pipe was staged.",
"On 19 August 1991, Special Forces of the KGB group Alfa, in amount of about 50 people, came to Yeltsin's cottage in Arkhangelsk. They approached the gates of the cottage, posing as VDV, who arrived on Assignment of the Defense Minister to increase the security of the village. However, one of the security guards of Yeltsin recognized him as an Alfa officer, who taught at the KGB courses. Yeltsin's guards invited Alfa fighters to dine in the dining room. The detachment Alpha guarded near the road, but did not take any action when Yeltsin's motorcade drove from the dacha to Moscow. After lunch, the Special Forces spent several hours in their bus, and then left. The Alpha squad guarded near the road, but did not take any action when Yeltsin's cortege drove from the cottage to Moscow. After dinner, the Special Forces spent several hours in their bus, and then left.","On 19 August 1991, Special Forces of the KGB group Alfa, in amount of about 50 people, came to Yeltsin's cottage in Arkhangelsk. They approached the gates of the cottage, posing as VDV, who arrived on Assignment of the Defense Minister to increase the security of the village. However, one of the security guards of Yeltsin recognized him as an Alfa officer, who taught at the KGB courses. Yeltsin's guards invited Alfa fighters to dine in the dining room. The detachment Alpha guarded near the road, but did not take any action when Yeltsin's motorcade drove from the dacha to Moscow. After lunch, the Special Forces spent several hours in their bus, and then left. The Alpha squad guarded near the road, but did not take any action when Yeltsin's cortege drove from the cottage to Moscow. After dinner, the Special Forces spent several hours in their bus, and then left.",
